CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_segment
13145.0,12,1,295.0,2,1,3,6,213
13148.0,5,1,309.40000000000003,4,1,3,8,413
13155.0,9,1,379.7,2,1,4,7,214
13173.0,7,1,165.94,3,1,2,6,312
13174.0,9,1,1415.97,2,1,5,8,215
13178.0,1,1,710.0,5,1,5,11,515
13198.0,2,1,384.55,5,1,4,10,514
13199.0,7,1,468.68,3,1,4,8,314
13209.0,2,1,318.85,5,1,3,9,513
13211.0,1,1,110.7,5,1,1,7,511
13225.0,2,1,1206.72,5,1,5,11,515
13230.0,5,1,93.45,4,1,1,6,411
13240.0,6,1,224.07,4,1,2,7,412
13255.0,14,1,225.7,1,1,2,4,112
13267.0,1,2,622.3,5,4,4,13,544
13269.0,1,2,662.1700000000001,5,4,5,14,545
13270.0,6,1,590.0,4,1,4,9,414
13305.0,13,1,136.2,1,1,1,3,111
13319.0,6,2,759.28,4,4,5,13,445
13324.0,1,1,650.1,5,1,5,11,515
13327.0,5,2,745.0,4,4,5,13,445
13329.0,7,1,304.2,3,1,3,7,313
13369.0,6,1,308.28000000000003,4,1,3,8,413
13370.0,12,1,754.87,2,1,5,8,215
13402.0,12,1,308.28000000000003,2,1,3,6,213
13408.0,2,3,2247.7200000000003,5,5,5,15,555
13418.0,5,3,992.34,4,5,5,14,455
13448.0,4,3,829.5400000000001,4,5,5,14,455
13455.0,7,1,692.94,3,1,5,9,315
13468.0,9,3,582.23,2,5,4,11,254
13488.0,8,1,1381.92,3,1,5,9,315
13491.0,12,1,98.9,2,1,1,4,211
13495.0,8,1,510.95,3,1,4,8,314
13497.0,9,1,153.5,2,1,1,4,211
13506.0,10,1,301.12,2,1,3,6,213
13520.0,12,1,303.4,2,1,3,6,213
13523.0,6,1,566.95,4,1,4,9,414
13531.0,6,1,305.45,4,1,3,8,413
13564.0,8,1,540.0,3,1,4,8,314
13569.0,8,1,118.32,3,1,1,5,311
13576.0,13,1,349.15000000000003,1,1,3,5,113
13579.0,9,1,164.7,2,1,2,5,212
13599.0,7,2,352.84,3,4,3,10,343
13649.0,6,1,197.8,4,1,2,7,412
13652.0,9,1,308.8,2,1,3,6,213
13668.0,3,1,177.66,5,1,2,8,512
13694.0,14,1,842.12,1,1,5,7,115
13705.0,14,1,318.14,1,1,3,5,113
13715.0,3,3,496.63,5,5,4,14,554
13747.0,14,1,79.6,1,1,1,3,111
13748.0,14,1,204.0,1,1,2,4,112
13756.0,8,1,532.8000000000001,3,1,4,8,314
13758.0,6,2,718.85,4,4,5,13,445
13767.0,5,4,1823.56,4,5,5,14,455
13769.0,8,1,322.3,3,1,3,7,313
13777.0,6,9,6840.16,4,5,5,14,455
13786.0,7,1,230.4,3,1,2,6,312
13787.0,4,1,106.4,4,1,1,6,411
13798.0,4,2,4170.66,4,4,5,13,445
13807.0,7,1,112.6,3,1,1,5,311
13831.0,10,1,408.0,2,1,4,7,214
13838.0,10,1,238.11,2,1,2,5,212
13842.0,7,1,310.57,3,1,3,7,313
13848.0,6,1,320.0,4,1,3,8,413
13854.0,6,1,309.4,4,1,3,8,413
13880.0,7,1,97.8,3,1,1,5,311
13941.0,13,1,1095.12,1,1,5,7,115
13948.0,1,1,102.0,5,1,1,7,511
13959.0,2,1,214.74,5,1,2,8,512
13963.0,8,1,151.3,3,1,1,5,311
13969.0,5,1,317.59000000000003,4,1,3,8,413
13982.0,5,1,428.6,4,1,4,9,414
13983.0,7,1,329.36,3,1,3,7,313
13984.0,6,1,154.8,4,1,1,6,411
13999.0,2,1,302.1,5,1,3,9,513
14001.0,14,1,301.24,1,1,3,5,113
14030.0,6,2,676.5,4,4,5,13,445
14031.0,5,2,1900.07,4,4,5,13,445
14032.0,7,1,303.86,3,1,3,7,313
14037.0,5,1,111.8,4,1,1,6,411
14045.0,14,1,326.4,1,1,3,5,113
14047.0,13,1,286.92,1,1,3,5,113
14051.0,7,1,623.4200000000001,3,1,4,8,314
14057.0,1,1,632.52,5,1,4,10,514
14060.0,7,2,620.84,3,4,4,11,344
14062.0,4,1,966.62,4,1,5,10,415
14078.0,14,1,136.24,1,1,1,3,111
14081.0,9,1,423.52,2,1,4,7,214
14082.0,5,1,182.25,4,1,2,7,412
14083.0,12,1,309.54,2,1,3,6,213
14085.0,2,2,799.29,5,4,5,14,545
14107.0,5,1,363.24,4,1,3,8,413
14135.0,8,2,804.25,3,4,5,12,345
14142.0,13,1,311.81,1,1,3,5,113
14156.0,12,1,322.2,2,1,3,6,213
14159.0,3,1,193.22,5,1,2,8,512
14161.0,10,1,283.15,2,1,3,6,213
14176.0,8,1,159.55,3,2,1,6,321
14180.0,2,2,541.15,5,5,4,14,554
14189.0,9,1,311.24,2,2,3,7,223
14210.0,12,1,304.95000000000005,2,2,3,7,223
14215.0,8,1,166.0,3,2,2,7,322
14217.0,7,1,118.3,3,2,1,6,321
14236.0,12,1,189.3,2,2,2,6,222
14237.0,14,1,161.0,1,2,1,4,121
14243.0,6,1,213.3,4,2,2,8,422
14256.0,5,1,523.86,4,2,4,10,424
14282.0,8,1,571.0,3,2,4,9,324
14290.0,2,1,777.5600000000001,5,2,5,12,525
14293.0,9,1,364.92,2,2,3,7,223
14298.0,1,3,2973.06,5,5,5,15,555
14299.0,6,1,429.24,4,2,4,10,424
14307.0,14,1,783.11,1,2,5,8,125
14344.0,8,2,340.65000000000003,3,5,3,11,353
14355.0,6,1,174.4,4,2,2,8,422
14388.0,13,1,312.8,1,2,3,6,123
14390.0,13,1,223.7,1,2,2,5,122
14395.0,12,1,308.68,2,2,3,7,223
14396.0,11,1,110.35,2,2,1,5,221
14404.0,9,1,133.48,2,2,1,5,221
14409.0,8,2,328.80000000000007,3,5,3,11,353
14413.0,3,1,122.7,5,2,1,8,521
14415.0,1,1,875.18,5,2,5,12,525
14419.0,5,1,124.1,4,2,1,7,421
14437.0,6,1,63.0,4,2,1,7,421
14440.0,6,1,656.7,4,2,5,11,425
14443.0,9,1,303.5,2,2,3,7,223
14448.0,4,1,102.35,4,2,1,7,421
14449.0,12,1,210.24,2,2,2,6,222
14466.0,13,1,379.75,1,2,4,7,124
14479.0,6,1,174.4,4,2,2,8,422
14487.0,9,1,125.1,2,2,1,5,221
14491.0,13,1,127.2,1,2,1,4,121
14496.0,13,1,304.34000000000003,1,2,3,6,123
14498.0,2,1,166.22,5,2,2,9,522
14505.0,2,1,1050.35,5,2,5,12,525
14506.0,9,1,269.7,2,2,3,7,223
14524.0,1,1,275.45,5,2,3,10,523
14525.0,1,1,462.3,5,2,4,11,524
14527.0,6,2,517.33,4,5,4,13,454
14543.0,5,1,254.4,4,2,2,8,422
14544.0,2,1,1121.92,5,2,5,12,525
14565.0,2,1,1167.41,5,2,5,12,525
14573.0,12,1,413.1,2,2,4,8,224
14576.0,12,1,35.400000000000006,2,2,1,5,221
14577.0,3,1,346.90000000000003,5,2,3,10,523
14589.0,12,1,39.75,2,2,1,5,221
14594.0,13,1,255.0,1,2,2,5,122
14606.0,1,5,923.67,5,5,5,15,555
14608.0,2,1,204.0,5,2,2,9,522
14625.0,1,1,585.53,5,2,4,11,524
14639.0,1,1,676.54,5,2,5,12,525
14667.0,1,5,1998.1,5,5,5,15,555
14673.0,8,1,373.49,3,2,4,9,324
14680.0,1,2,2875.4,5,5,5,15,555
14684.0,3,1,168.36,5,2,2,9,522
14688.0,14,1,444.98,1,2,4,7,124
14696.0,13,1,294.62,1,2,3,6,123
14702.0,5,1,318.7,4,2,3,9,423
14708.0,9,1,419.06,2,2,4,8,224
14713.0,5,1,298.95,4,2,3,9,423
14723.0,11,2,250.94,2,5,2,9,252
14729.0,14,1,313.49,1,2,3,6,123
14733.0,1,2,3525.14,5,5,5,15,555
14739.0,7,1,713.88,3,2,5,10,325
14741.0,2,2,495.3,5,5,4,14,554
14744.0,7,1,225.0,3,2,2,7,322
14748.0,9,2,470.42,2,5,4,11,254
14766.0,6,1,180.4,4,2,2,8,422
14775.0,12,1,406.56,2,2,4,8,224
14796.0,2,2,1028.82,5,5,5,15,555
14800.0,3,2,1219.85,5,5,5,15,555
14810.0,10,1,180.44,2,2,2,6,222
14813.0,10,2,155.43,2,5,1,8,251
14821.0,7,1,48.8,3,2,1,6,321
14825.0,9,1,184.1,2,2,2,6,222
14829.0,1,2,385.33,5,5,4,14,554
14849.0,14,3,355.84000000000003,1,5,3,9,153
14865.0,12,1,37.2,2,2,1,5,221
14866.0,6,1,103.68,4,2,1,7,421
14871.0,1,1,140.4,5,2,1,8,521
14896.0,6,1,257.22,4,2,2,8,422
14898.0,11,1,98.5,2,2,1,5,221
14901.0,1,3,497.05,5,5,4,14,554
14907.0,1,3,960.69,5,5,5,15,555
14911.0,5,9,5567.63,4,5,5,14,455
14932.0,6,1,363.53,4,2,3,9,423
14952.0,5,1,686.1600000000001,4,2,5,11,425
14961.0,1,2,1182.7,5,5,5,15,555
14987.0,6,1,163.2,4,2,1,7,421
15002.0,8,1,631.65,3,2,4,9,324
15005.0,6,1,222.5,4,2,2,8,422
15012.0,14,1,191.06,1,2,2,5,122
15018.0,8,1,111.25,3,2,1,6,321
15021.0,7,1,205.64,3,2,2,7,322
15023.0,9,1,460.6,2,2,4,8,224
15024.0,7,2,491.22,3,5,4,12,354
15028.0,9,1,185.97,2,2,2,6,222
15032.0,7,2,2770.6,3,5,5,13,355
15038.0,10,1,126.43,2,2,1,5,221
15039.0,1,2,1317.76,5,5,5,15,555
15044.0,2,1,835.95,5,2,5,12,525
15048.0,9,1,98.7,2,2,1,5,221
15061.0,5,11,17344.78,4,5,5,14,455
15070.0,13,1,106.2,1,2,1,4,121
15078.0,9,2,475.15,2,5,4,11,254
15079.0,6,1,141.95,4,2,1,7,421
15081.0,7,1,111.15,3,2,1,6,321
15093.0,12,1,623.73,2,2,4,8,224
15100.0,7,2,700.8,3,5,5,13,355
15107.0,12,1,116.0,2,2,1,5,221
15111.0,13,1,288.5,1,2,3,6,123
15159.0,1,2,1860.98,5,5,5,15,555
15165.0,13,1,487.75,1,2,4,7,124
15180.0,7,1,87.5,3,2,1,6,321
15192.0,5,1,315.0,4,2,3,9,423
15194.0,1,2,715.21,5,5,5,15,555
15211.0,5,1,383.07,4,2,4,10,424
15221.0,7,1,403.25,3,2,4,9,324
15224.0,3,1,11.6,5,2,1,8,521
15235.0,9,2,165.05,2,5,2,9,252
15260.0,13,2,420.5,1,5,4,10,154
15271.0,5,1,111.75,4,2,1,7,421
15288.0,5,1,165.65,4,2,2,8,422
15291.0,14,1,328.8,1,2,3,6,123
15298.0,6,1,397.6,4,2,4,10,424
15299.0,12,3,1835.01,2,5,5,12,255
15301.0,9,1,673.37,2,2,5,9,225
15304.0,9,1,123.15,2,2,1,5,221
15311.0,1,5,1905.01,5,5,5,15,555
15332.0,6,4,1661.06,4,5,5,14,455
15347.0,6,1,201.6,4,2,2,8,422
15350.0,14,1,115.65,1,2,1,4,121
15351.0,10,1,274.67,2,2,3,7,223
15353.0,8,1,311.65,3,2,3,8,323
15356.0,1,2,365.54,5,5,3,13,553
15358.0,6,2,624.55,4,5,4,13,454
15361.0,2,1,418.92,5,2,4,11,524
15363.0,13,1,326.0,1,2,3,6,123
15373.0,11,1,334.3,2,2,3,7,223
15380.0,5,1,230.1,4,2,2,8,422
15426.0,9,1,411.42,2,2,4,8,224
15454.0,2,1,179.1,5,2,2,9,522
15465.0,10,1,535.75,2,2,4,8,224
15485.0,14,1,950.09,1,2,5,8,125
15498.0,6,2,976.72,4,5,5,14,455
15502.0,8,3,929.4,3,5,5,13,355
15503.0,3,1,147.09,5,2,1,8,521
15513.0,6,2,1313.5,4,5,5,14,455
15514.0,1,4,1884.71,5,5,5,15,555
15525.0,14,1,313.93,1,2,3,6,123
15529.0,5,2,321.46,4,5,3,12,453
15544.0,13,1,354.54,1,2,3,6,123
15545.0,11,1,135.32999999999998,2,2,1,5,221
15547.0,3,1,767.37,5,2,5,12,525
15555.0,2,3,989.82,5,5,5,15,555
15570.0,3,2,867.89,5,5,5,15,555
15574.0,12,1,375.65,2,2,4,8,224
15581.0,6,1,272.34000000000003,4,2,3,9,423
15596.0,5,1,402.32,4,2,4,10,424
15601.0,13,1,768.38,1,2,5,8,125
15602.0,1,2,152.55,5,5,1,11,551
15605.0,14,1,194.85,1,2,2,5,122
15628.0,7,1,319.18,3,2,3,8,323
15640.0,1,2,1819.5,5,5,5,15,555
15646.0,12,1,189.8,2,2,2,6,222
15649.0,8,1,510.0,3,2,4,9,324
15658.0,13,1,306.2,1,2,3,6,123
15660.0,6,1,209.3,4,2,2,8,422
15680.0,6,1,478.89,4,2,4,10,424
15689.0,2,1,103.5,5,2,1,8,521
15694.0,1,3,847.3299999999999,5,5,5,15,555
15708.0,10,1,350.68,2,2,3,7,223
15713.0,6,1,171.15,4,2,2,8,422
15716.0,10,1,547.1,2,2,4,8,224
15723.0,5,1,203.1,4,2,2,8,422
15732.0,12,1,138.1,2,2,1,5,221
15738.0,13,1,329.65,1,2,3,6,123
15750.0,7,2,340.52,3,5,3,11,353
15752.0,13,1,259.65000000000003,1,2,2,5,122
15769.0,11,1,91.8,2,2,1,5,221
15777.0,1,1,365.55,5,2,3,10,523
15805.0,5,1,370.8,4,2,4,10,424
15808.0,1,2,2249.85,5,5,5,15,555
15811.0,5,1,289.85,4,2,3,9,423
15823.0,12,1,15.0,2,2,1,5,221
15827.0,13,2,190.93,1,5,2,8,152
15838.0,8,1,957.5,3,3,5,11,335
15854.0,2,1,230.1,5,3,2,10,532
15856.0,6,1,1571.32,4,3,5,12,435
15858.0,7,1,383.93,3,3,4,10,334
15860.0,9,1,102.66,2,3,1,6,231
15862.0,14,1,354.23,1,3,3,7,133
15867.0,1,2,314.3,5,5,3,13,553
15880.0,10,1,343.28,2,3,3,8,233
15881.0,2,2,155.25,5,5,1,11,551
15882.0,9,2,371.3200000000001,2,5,4,11,254
15889.0,9,1,297.92,2,3,3,8,233
15894.0,9,1,156.74,2,3,1,6,231
15898.0,8,2,521.69,3,5,4,12,354
15899.0,9,1,56.25,2,3,1,6,231
15916.0,7,2,232.45,3,5,2,10,352
15919.0,9,1,270.72,2,3,3,8,233
15922.0,13,1,369.5,1,3,3,7,133
15923.0,13,1,127.08,1,3,1,5,131
15945.0,6,1,181.0,4,3,2,9,432
15953.0,9,1,209.84,2,3,2,7,232
15955.0,13,1,572.38,1,3,4,8,134
15965.0,8,1,156.19,3,3,1,7,331
15973.0,7,1,307.82000000000005,3,3,3,9,333
15983.0,1,3,1148.27,5,5,5,15,555
15984.0,9,1,122.7,2,3,1,6,231
15987.0,9,1,113.48,2,3,1,6,231
15996.0,6,1,263.25,4,3,2,9,432
15998.0,3,1,863.39,5,3,5,13,535
16010.0,3,1,110.1,5,3,1,9,531
16011.0,3,2,406.1,5,5,4,14,554
16013.0,12,2,1062.0,2,5,5,12,255
16016.0,7,1,382.27,3,3,4,10,334
16019.0,5,1,219.1,4,3,2,9,432
16029.0,12,3,4271.52,2,5,5,12,255
16033.0,1,2,309.69,5,5,3,13,553
16048.0,13,2,256.44,1,5,2,8,152
16059.0,8,1,118.25,3,3,1,7,331
16062.0,5,1,247.56,4,3,2,9,432
16065.0,6,1,372.09,4,3,4,11,434
16081.0,7,1,157.6,3,3,1,7,331
16083.0,1,1,337.98,5,3,3,11,533
16086.0,7,1,177.26,3,3,2,8,332
16098.0,14,1,430.6,1,3,4,8,134
16122.0,7,1,105.72,3,3,1,7,331
16125.0,7,1,289.35,3,3,3,9,333
16140.0,11,1,124.14,2,3,1,6,231
16143.0,9,1,355.75,2,3,3,8,233
16150.0,12,1,393.42,2,3,4,9,234
16161.0,9,1,164.2,2,3,1,6,231
16163.0,5,1,441.6,4,3,4,11,434
16168.0,10,1,275.8,2,3,3,8,233
16186.0,12,1,307.68,2,3,3,8,233
16191.0,1,2,627.5999999999999,5,5,4,14,554
16202.0,1,1,365.27,5,3,3,11,533
16203.0,12,1,170.7,2,3,2,7,232
16210.0,2,3,5277.74,5,5,5,15,555
16218.0,14,1,471.3,1,3,4,8,134
16221.0,8,1,166.74,3,3,2,8,332
16233.0,7,1,147.39999999999998,3,3,1,7,331
16241.0,10,1,277.65000000000003,2,3,3,8,233
16244.0,13,1,1056.63,1,3,5,9,135
16250.0,14,1,226.14,1,3,2,6,132
16255.0,5,1,374.25,4,3,4,11,434
16265.0,5,2,840.8100000000001,4,5,5,14,455
16274.0,13,1,357.95,1,3,3,7,133
16293.0,7,1,378.75,3,3,4,10,334
16306.0,7,1,68.1,3,3,1,7,331
16327.0,10,1,535.6,2,3,4,9,234
16353.0,10,1,204.0,2,3,2,7,232
16365.0,7,1,139.86,3,3,1,7,331
16367.0,3,1,170.91,5,3,2,10,532
16385.0,7,1,148.23000000000002,3,3,1,7,331
16393.0,3,2,291.55,5,5,3,13,553
16402.0,10,1,211.8,2,3,2,7,232
16411.0,10,1,131.5,2,3,1,6,231
16422.0,9,1,1668.2,2,3,5,10,235
16442.0,1,1,151.66,5,3,1,9,531
16455.0,1,3,531.98,5,5,4,14,554
16456.0,13,1,787.4,1,3,5,9,135
16458.0,1,1,193.9,5,3,2,10,532
16477.0,12,1,225.65,2,3,2,7,232
16499.0,1,2,365.45,5,5,3,13,553
16510.0,13,1,248.1,1,3,2,6,132
16519.0,5,1,103.7,4,3,1,8,431
16520.0,6,1,325.76,4,3,3,10,433
16525.0,7,1,411.44,3,3,4,10,334
16531.0,1,1,92.82,5,3,1,9,531
16539.0,13,1,442.35,1,3,4,8,134
16546.0,13,1,299.40000000000003,1,3,3,7,133
16550.0,8,1,554.66,3,3,4,10,334
16552.0,14,1,95.29,1,3,1,5,131
16556.0,1,1,310.85,5,3,3,11,533
16558.0,7,1,569.4,3,3,4,10,334
16565.0,4,1,173.7,4,3,2,9,432
16583.0,14,1,233.45,1,3,2,6,132
16596.0,6,1,120.65,4,3,1,8,431
16634.0,12,1,164.8,2,3,2,7,232
16638.0,9,1,50.400000000000006,2,3,1,6,231
16654.0,8,1,227.4,3,3,2,8,332
16656.0,5,1,428.76,4,3,4,11,434
16658.0,8,1,123.24,3,3,1,7,331
16665.0,2,1,135.4,5,3,1,9,531
16679.0,6,1,129.75,4,3,1,8,431
16700.0,6,1,336.94,4,3,3,10,433
16701.0,2,1,476.76,5,3,4,12,534
16710.0,9,1,375.47,2,3,4,9,234
16713.0,7,1,414.43,3,3,4,10,334
16717.0,6,1,307.25,4,3,3,10,433
16718.0,10,1,623.75,2,3,4,9,234
16719.0,9,1,430.73,2,3,4,9,234
16722.0,6,2,799.52,4,5,5,14,455
16725.0,11,1,122.15,2,3,1,6,231
16726.0,2,1,129.57,5,3,1,9,531
16727.0,4,1,272.82,4,3,3,10,433
16752.0,13,1,207.5,1,3,2,6,132
16754.0,12,1,2002.4,2,3,5,10,235
16770.0,12,1,130.8,2,3,1,6,231
16775.0,7,1,231.9,3,3,2,8,332
16779.0,3,2,687.83,5,5,5,15,555
16781.0,12,1,311.25,2,3,3,8,233
16782.0,6,1,371.7,4,3,4,11,434
16795.0,5,1,414.88,4,3,4,11,434
16805.0,1,1,214.77,5,3,2,10,532
16812.0,1,1,479.35,5,3,4,12,534
16814.0,10,1,273.29,2,3,3,8,233
16817.0,8,1,244.2,3,3,2,8,332
16835.0,13,1,81.75,1,3,1,5,131
16839.0,10,1,552.24,2,3,4,9,234
16858.0,9,1,375.69000000000005,2,3,4,9,234
16863.0,7,1,164.25,3,3,1,7,331
16873.0,4,1,2157.64,4,3,5,12,435
16883.0,12,1,128.03,2,3,1,6,231
16891.0,12,1,232.26,2,3,2,7,232
16893.0,7,1,145.93,3,3,1,7,331
16898.0,9,1,116.08,2,3,1,6,231
16899.0,1,1,170.55,5,3,2,10,532
16904.0,8,2,338.7,3,5,3,11,353
16905.0,12,1,254.4,2,3,2,7,232
16907.0,5,1,182.02,4,3,2,9,432
16916.0,13,1,198.08,1,3,2,6,132
16919.0,9,1,198.35,2,3,2,7,232
16923.0,3,1,550.5,5,3,4,12,534
16926.0,12,1,230.25,2,3,2,7,232
16927.0,2,1,218.1,5,3,2,10,532
16928.0,13,1,116.25,1,3,1,5,131
16931.0,10,1,152.05,2,3,1,6,231
16950.0,7,1,172.0,3,3,2,8,332
16955.0,9,2,189.1,2,5,2,9,252
16983.0,10,1,163.49,2,3,1,6,231
17017.0,5,4,1533.62,4,5,5,14,455
17019.0,9,1,358.82,2,3,3,8,233
17025.0,13,2,160.97,1,5,1,7,151
17026.0,10,1,33.15,2,3,1,6,231
17041.0,1,1,304.5,5,3,3,11,533
17059.0,10,1,722.36,2,3,5,10,235
17062.0,6,2,294.43,4,5,3,12,453
17068.0,8,1,166.15,3,3,2,8,332
17069.0,13,1,277.05,1,3,3,7,133
17076.0,5,1,151.5,4,3,1,8,431
17085.0,3,1,452.99,5,3,4,12,534
17091.0,8,1,293.45000000000005,3,3,3,9,333
17097.0,5,1,174.72,4,3,2,9,432
17126.0,3,1,212.6,5,3,2,10,532
17135.0,12,1,215.58,2,3,2,7,232
17158.0,1,1,413.79,5,3,4,12,534
17179.0,1,1,243.0,5,4,2,11,542
17181.0,14,1,155.52,1,4,1,6,141
17188.0,3,1,513.64,5,4,4,13,544
17191.0,8,3,510.11,3,5,4,12,354
17194.0,1,1,252.62,5,4,2,11,542
17198.0,6,2,521.66,4,5,4,13,454
17211.0,3,2,597.52,5,5,4,14,554
17213.0,7,1,312.90000000000003,3,4,3,10,343
17218.0,3,2,506.78,5,5,4,14,554
17220.0,4,1,317.5,4,4,3,11,443
17223.0,8,1,292.84000000000003,3,4,3,10,343
17227.0,9,1,142.25,2,4,1,7,241
17228.0,8,2,355.95,3,5,3,11,353
17231.0,1,1,232.01,5,4,2,11,542
17235.0,13,1,341.90000000000003,1,4,3,8,143
17236.0,3,1,126.28,5,4,1,10,541
17238.0,11,2,370.09,2,5,3,10,253
17243.0,3,2,595.5,5,5,4,14,554
17251.0,3,1,283.28000000000003,5,4,3,12,543
17259.0,9,1,381.64,2,4,4,10,244
17262.0,7,1,268.86,3,4,2,9,342
17287.0,8,2,222.7,3,5,2,10,352
17293.0,1,1,346.14,5,4,3,12,543
17303.0,2,1,250.04,5,4,2,11,542
17320.0,8,1,450.92,3,4,4,11,344
17324.0,7,1,127.05,3,4,1,8,341
17338.0,2,1,767.6,5,4,5,14,545
17339.0,5,1,60.0,4,4,1,9,441
17340.0,6,1,2671.27,4,4,5,13,445
17341.0,7,1,513.6,3,4,4,11,344
17346.0,13,1,146.61,1,4,1,6,141
17371.0,1,1,97.63,5,4,1,10,541
17372.0,1,2,370.78,5,5,3,13,553
17375.0,1,1,109.71,5,4,1,10,541
17377.0,6,2,588.3,4,5,4,13,454
17381.0,9,3,3603.72,2,5,5,12,255
17396.0,12,1,397.5,2,4,4,10,244
17402.0,9,2,459.97,2,5,4,11,254
17404.0,1,1,1188.0,5,4,5,14,545
17406.0,7,1,702.1,3,4,5,12,345
17412.0,12,1,197.3,2,4,2,8,242
17419.0,7,2,374.27,3,5,4,12,354
17420.0,14,1,130.85,1,4,1,6,141
17428.0,2,2,893.95,5,5,5,15,555
17430.0,6,1,112.6,4,4,1,9,441
17450.0,8,2,2028.84,3,5,5,13,355
17456.0,5,1,249.86,4,4,2,10,442
17460.0,12,2,70.30000000000001,2,5,1,8,251
17470.0,8,1,178.4,3,4,2,9,342
17491.0,8,1,327.4,3,4,3,10,343
17511.0,8,2,3470.68,3,5,5,13,355
17519.0,8,1,335.3,3,4,3,10,343
17524.0,1,1,145.0,5,4,1,10,541
17526.0,1,2,238.6,5,5,2,12,552
17530.0,5,1,300.64,4,4,3,11,443
17552.0,12,2,298.52,2,5,3,10,253
17567.0,12,1,517.95,2,4,4,10,244
